Source reference number,Document title,URL,"Date of documen (if applicable)",Date accessed
57,WhatsApp Help Page on banned accounts,https://faq.whatsapp.com/en/android/23154266/?category=5245246,unknown,"2018-09-21"
58,Instagram Account Disabled,https://help.instagram.com/366993040048856,unknown,"2018-09-21"
59,Facebook Blog Post- Hard Questions: Who Should Decide What Is Hate Speech in an Online Global Community?,https://newsroom.fb.com/news/2017/06/hard-questions-hate-speech/,"June 27, 2017","2018-09-29"
60,How do I access or review my data on Instagram?,https://help.instagram.com/181231772500920,unknown,"2018-11-09"
61,Content Restrictions Transparency Report H1 2018,https://transparency.facebook.com/content-restrictions,unknown,"2018-11-16"
62,Intellectual Property Transparency Report H1 2018,https://transparency.facebook.com/intellectual-property,unknown,"2018-11-16"
63,Content Restrictions India H1 2018,https://transparency.facebook.com/content-restrictions/country/IN,unknown,"2016-11-19"
64,Government Data Requests Transparency Report H1 2018,https://transparency.facebook.com/government-data-requests,unknown,"2018-11-26"
65,Government Data Requests - US report H1 2018,https://transparency.facebook.com/government-data-requests/country/US,unknown,"2018-11-26"
66,WhatsApp Information for Law Enforcement Authorities,https://faq.whatsapp.com/en/android/26000050/?category=5245250,unknown,"2019-02-08"
67,Contact the Data Protection Officer (DPO),https://www.facebook.com/help/contact/540977946302970,unknown,"2019-02-27"
